ID,HITL_Operator_ID,operator_hitl_eval,operator_hitl_reasoning,operator_hitl_link,HITL_Infra_Error,HITL_Infra_Error_Reasoning
2.0,HITL-Operator-1,Success,Navigates and finds correct items via search,https://www.loom.com/share/85352b1277d84363b16101550ee27766,False,
22.0,HITL-Operator-2,Success,Agent succesfully goes and finds options and clicks in to extract info from each listing,https://www.loom.com/share/93627d5d5cd543edbc98f6372f711dcc,False,
20.0,HITL-Operator-3,Failure,"AI Agent failed to delete. could not find delete option. Instead chose to archive the whole message, failing task. ",https://www.loom.com/share/60832434f452439c8e1d9fc12ab3ea4c,False,"The error is related to the AI agent's logic or algorithm, as it failed to identify and perform the correct action (deleting a message) and mistakenly archived it instead. This is not related to infrastructure, which would include issues with logging in, proxies, or page loading."
19.0,HITL-Operator-4,Success,"AI Agent successfully selected guest favorite property listing, saved it to wishlist, and deleted it with confirmation from human.",https://www.loom.com/share/d72f7868dc2e4172bbc020fbfe17cbdc?sid=06ba2a9b-89c1-4b29-982d-afd857147870,False,
35.0,HITL-Operator-5,Success,"AI Agent successfully completed the task. Interesting to note, Agent first searched by category instead of going to search bar, but corrected. Additionally, Agent answer included the same supplier twice, as it was listed with a different product. Answer is technically correct. ",https://www.loom.com/share/c64d0336840e41f4bee5f5b690a059e7,False,
34.0,HITL-Operator-6,Success,"AI Agent successfully completed the task. However, the agent needed human intervention to complete the CAPTCHA popup.",https://www.loom.com/share/b8f587b608f3485aaab7eb317397f425?sid=45e4678c-f8a4-44c7-b1bb-f48e66dfee62,False,
33.0,HITL-Operator-7,Success,AI Agent successfully locates a number for the amount of listings of smartphones on Alibaba. ,https://www.loom.com/share/bb3f8b6626124e35a42b862c35bf2e02,False,
51.0,HITL-Operator-8,Failure,"Hits ""Signal - Not Acceptable"" error when navigating into the webpage for the recipe. Tries navigating to incognito and via search but both paths fail",https://www.loom.com/share/e2d32b9e72d34c0788a85fadd95a9718,True,"The error ""Signal - Not Acceptable"" when attempting to navigate a webpage suggests an issue related to proxy, CAPTCHA, or other access restrictions that are typically infrastructure issues. The AI agent's alternative attempts to use incognito mode or search did not resolve the issue, further indicating it is an access or loading problem, aligning more with infrastructure challenges."
67.0,HITL-Operator-9,Success,"Agent successfully navigated and found the calorie count. Notably, Agent could have clicked ""Jump to nutritional facts"" but scrolled instead. ",https://www.loom.com/share/b1be71530e1043ce98cf0c5c1b80c7a9,False,
63.0,HITL-Operator-10,Success,"Agent successfully found a serving size for a recipe designated for the fall time of the year. Interestingly, the Agent identified Halloween as a Fall time of year as opposed to searching in the search bar for ""Fall"".  ",https://www.loom.com/share/4cd22d81732c4d69be2ca3f4ffe7c581,False,
56.0,HITL-Operator-11,Failure,"Agent created a new collection titled correctly. Agent checked back with Favorites Tab to check if it had properly favorited an item before continuing to search for recipes. Agent added 4 recipes, and noticed that there was only four recipes in the collection. Agent misidentified the missing recipe, and attempted to add that recipe again. The agent checked for that specific recipe to be in the collection, yet ignored checking that there were 5 recipes in the collection overall. Thus, it misidentified the number of recipes, and populated a collection with 4 recipes instead of 5. ",https://www.loom.com/share/39cbb83e3c90456781acae3726f934f7,False,"The described issue involves the agent misidentifying the number of recipes in a collection and not properly verifying the total count. This is a problem related to the agent's logic or algorithm for managing collections, rather than an infrastructure issue like network, captcha, or login problems."
73.0,HITL-Operator-12,Success,"Agent saved the trail and successfully deleted it. Agent needed human assistance to log in, as well as navigate to browser settings to allow third-party cookies for log-in portal. Agent also needed human assistance to confirm the save and delete functions.",https://www.loom.com/share/da0184a08aa347938290fc0f21e9b25d,False,
80.0,HITL-Operator-13,Success,"Agent selected ""hiking,"" as it wasn't previously saved as a favorite. Then it changed its response to ""mountain biking,"" constituting a success.",https://www.loom.com/share/bd57ff75e59f4e20a4045c1b3a4d81f1,False,
70.0,HITL-Operator-14,Bad Task,"Agent found a trail called ""Fig Tree Falls Loop,"" which was the closest alternative. There exists a trail called ""Fig Tree Loop,"" but it isn't listed on alltrails.com",https://www.loom.com/share/44c339c4195948529addd476bd9c38ed,False,
93.0,HITL-Operator-15,Success,"Agent filters for all the necessary criteria, and lists the desired output. Agent first searched for the titles within the year 2022, and then narrowed the search by filtering for articles alone.",https://www.loom.com/share/138e4d0f4d9c4ce4828cbdef5d7ee6d8,False,
87.0,HITL-Operator-16,Bad Task,"Agent was unable to save a note to MyAPA, so this is a bad task. Agent was able to copy summaries, and after being asked to return the summaries copied, the agent returned a few blurbs about each summary, rather than a larger paragraph. Agent also required human assistance to log in.",https://www.loom.com/share/f51598d9578c409a840a969f404c8c9d,False,
96.0,HITL-Operator-17,Bad Task,"Agent was unable to change the biweekly update into a monthly subscription, as the specific newsletter did not allow it to. Instead, the agent subscribed to a different newsletter that had a monthly frequency.",https://www.loom.com/share/53b3a1a2636e4dff8f4eb1f6a27098e7,False,
102.0,HITL-Operator-18,Success,Agent was able to find the necessary details for Spotify's version release date and latest version number. Agent needed human assistance to complete CAPTCHA verification.,https://www.loom.com/share/79b47ee0d25846e5b28a6386d73dc134,False,
104.0,HITL-Operator-19,Success,"Agent was able to successfully return the top article names for ""climate change"" search.",https://www.loom.com/share/84350e0bf560465682535f1acf37abbe,False,
113.0,HITL-Operator-20,Success,"Agent successfully navigated to the Advanced Search function and input ""space"" as the description field, and media type as ""image"". Then it returned the capture date and titles of the first ten images. Agent did require two searches and approval from human to proceed with searches.",https://www.loom.com/share/3948c0065c4f4d9295d73f72d90d1800,False,
116.0,HITL-Operator-21,Success,Agent successfully found the UK size 12 measurements. ,https://www.loom.com/share/212c7880cfa4495cab4331e9a6734ee3,False,
129.0,HITL-Operator-22,Success,Agent successfully identified the closest B&N to zip code 90210 when presented with multiple options.,https://www.loom.com/share/a5512e8360ba4b99bdcaf99c86a3b745,False,
125.0,HITL-Operator-23,Success,"Agent requested human assistance to proceed with security risk, and also log in. It identified the proper book, asked for confirmation to add it to the wishlist, and checked to make sure it was in the wishlist. Agent struggled to add the book to the wishlist on its first 3 attempts(figuring out which functions add the books to the wishlist), and had to re-search the book a few times. It then properly identified the method to add books to the wishlist and with confirmation, proceeded. Then Agent asked for confirmation to delete it before completing. ",https://www.loom.com/share/28d123708a074a6c8d788714df11e925,False,
